Country,Region,GDP Contribution,Literacy Rate,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Climate Value,Climate Category,GDP,Cost of Living Value,Cost of Living Category,Property Price to Income Value,Property Price to Income Category,Traffic Commute Time Value,Traffic Commute Time Category,Pollution Value,Pollution Category,Quality of Life Value,Quality of Life Category
Afghanistan,Central,0,38.17%,32.15,'Very Low',25.33,'Low',24.24,'Low',0,None,growth,21.08,'Very Low',7.8,'Low',56.17,'Very High',84.44,'Very High',0,None
Albania,East,0.02%,97.55%,42.82,'Low',55.52,'Moderate',48.21,'Moderate',86.43,'Very High',4.84%,40.85,'Low',14.88,'High',36.74,'Moderate',77.25,'High',': 104.16','Low'
Algeria,North,0.19%,79.61%,27.6,'Very Low',47.54,'Moderate',54.43,'Moderate',94.82,'Very High',3.10%,25.31,'Very Low',21.7,'Very High',45.09,'High',63.87,'High',': 98.83','Very Low'
Andorra,West,0.00%,100.00%,121.14,'Very High',84.71,'Very High',75.56,'High',0,None,8.81%,48.09,'Low',9.03,'Moderate',13.33,'Very Low',22.98,'Low',0,None
Angola,South,0.11%,71.16%,224.46,'Very High',33.71,'Low',36.58,'Low',0,None,3.05%,42.57,'Low',8.01,'Moderate',65.43,'Very High',92.07,'Very High',0,None
Antigua And Barbuda,West,0.00%,98.95%,0,None,42.86,'Moderate',30.56,'Low',0,None,8.46%,0,None,0,None,35,'Moderate',43.1,'Moderate',0,None
Argentina,South,0.63%,98.09%,40.36,'Low',36.36,'Low',68,'High',98.28,'Very High',5.24%,32.65,'Very Low',20.05,'Very High',44.07,'High',50.81,'Moderate',': 115.06','Low'
Armenia,Central,0.02%,99.77%,36.91,'Very Low',77.81,'High',58.07,'Moderate',63.42,'High',12.60%,41.84,'Low',20.95,'Very High',29.31,'Low',62.55,'High',': 116.56','Low'
Australia,East,1.67%,99.00%,137.58,'Very High',52.71,'Moderate',73.35,'High',93.8,'Very High',3.62%,64.5,'Moderate',8.25,'Moderate',37.48,'Moderate',26.8,'Low',': 190.69','Very High'
Austria,Central,0.47%,98.00%,109.08,'High',70.38,'High',77.83,'High',77.4,'High',5.00%,62.22,'Moderate',11.76,'Moderate',23.77,'Very Low',20.73,'Low',': 192.07','Very High'
